iter	RMSE
0	17.50491379
1	12.79364269
2	9.252073355
3	6.771135452
4	5.071091314
5	3.985856801
6	3.317638565
7	2.858536371
8	2.598607697
9	2.424403737
10	2.317477112
11	2.217907285
12	2.168078829
13	2.133492246
14	2.079558292
15	2.031339262
16	1.989441417
17	1.958647886
18	1.932011527
19	1.889147623
20	1.873395196
21	1.832320865
22	1.81162633
23	1.781398746
24	1.776679036
25	1.744647099
26	1.728373964
27	1.717743516
28	1.701275977
29	1.6798441
30	1.677986172
31	1.654418907
32	1.628857816
33	1.614315694
34	1.612552138
35	1.601410055
36	1.58955747
37	1.575346489
38	1.55340559
39	1.552032467
40	1.550953788
41	1.541546587
42	1.522874337
43	1.507301413
44	1.489269899
45	1.486883631
46	1.468500153
47	1.464381934
48	1.447334949
49	1.435659119
50	1.433850434
51	1.425592048
52	1.411205367
53	1.404855362
54	1.402709546
55	1.389875958
56	1.389380471
57	1.379721487
58	1.365483882
59	1.357345166
60	1.354025836
61	1.352189261
62	1.339211167
63	1.334412776
64	1.33026671
65	1.320156872
66	1.309302536
67	1.304520043
68	1.303191042
69	1.295665518
70	1.285537165
71	1.281171746
72	1.277697553
73	1.26246877
74	1.248536575
75	1.24137377
76	1.234675625
77	1.232839964
78	1.224011387
79	1.217898246
80	1.216597352
81	1.20875765
82	1.200711434
83	1.199589421
84	1.195250766
85	1.19115672
86	1.187564963
87	1.180693113
88	1.174398102
89	1.168141252
90	1.159567589
91	1.152636122
92	1.149774431
93	1.148704242
94	1.143014415
95	1.140029515
96	1.134814163
97	1.130876885
98	1.125993922
99	1.122549603
