iter	Passed	Remaining
0	6	650
1	12	592
2	16	542
3	20	493
4	24	460
5	27	433
6	38	514
7	49	567
8	58	594
9	65	585
10	70	572
11	75	550
12	81	542
13	84	518
14	87	495
15	90	475
16	93	456
17	100	455
18	117	500
19	123	492
20	131	495
21	137	486
22	141	474
23	145	460
24	147	441
25	150	427
26	153	415
27	166	427
28	173	424
29	182	424
30	186	415
31	191	405
32	197	401
33	202	393
34	206	382
35	209	371
36	212	361
37	214	350
38	217	340
39	229	344
40	250	359
41	270	374
42	276	366
43	280	357
44	284	347
45	287	337
46	290	327
47	293	317
48	296	308
49	306	306
50	317	304
51	326	301
52	344	305
53	355	303
54	359	294
55	363	285
56	366	276
57	370	267
58	373	259
59	376	251
60	379	242
61	382	234
62	421	247
63	430	242
64	435	234
65	438	225
66	441	217
67	444	209
68	447	201
69	462	198
70	476	194
71	492	191
72	501	185
73	508	178
74	512	170
75	515	162
76	518	154
77	521	147
78	525	139
79	528	132
80	531	124
81	556	122
82	567	116
83	574	109
84	578	102
85	581	94
86	585	87
87	588	80
88	591	73
89	594	66
90	597	59
91	609	52
92	624	47
93	639	40
94	645	33
95	651	27
96	656	20
97	659	13
98	663	6
99	666	0
